,Consumption (kwh),Estimated Cost Inc. Tax (p),Start,End,Datetime (UTC),East England,CO2 Emissions
0,0.054,1.32,2025-02-10T00:00,2025-02-10T00:30,2025-02-10T00:00,104,5.616
1,0.065,1.58,2025-02-10T00:30,2025-02-10T01:00,2025-02-10T00:30,106,6.890000000000001
2,0.062,1.51,2025-02-10T01:00,2025-02-10T01:30,2025-02-10T01:00,108,6.696
3,0.051,1.24,2025-02-10T01:30,2025-02-10T02:00,2025-02-10T01:30,106,5.406
4,0.076,1.85,2025-02-10T02:00,2025-02-10T02:30,2025-02-10T02:00,106,8.056
5,0.048,1.17,2025-02-10T02:30,2025-02-10T03:00,2025-02-10T02:30,105,5.04
6,0.113,2.75,2025-02-10T03:00,2025-02-10T03:30,2025-02-10T03:00,103,11.639000000000001
7,0.086,2.09,2025-02-10T03:30,2025-02-10T04:00,2025-02-10T03:30,104,8.943999999999999
8,0.057,1.39,2025-02-10T04:00,2025-02-10T04:30,2025-02-10T04:00,100,5.7
9,0.098,2.39,2025-02-10T04:30,2025-02-10T05:00,2025-02-10T04:30,99,9.702
10,0.111,2.7,2025-02-10T05:00,2025-02-10T05:30,2025-02-10T05:00,75,8.325
11,0.093,2.27,2025-02-10T05:30,2025-02-10T06:00,2025-02-10T05:30,76,7.068
12,0.082,2.0,2025-02-10T06:00,2025-02-10T06:30,2025-02-10T06:00,70,5.74
13,0.08,1.95,2025-02-10T06:30,2025-02-10T07:00,2025-02-10T06:30,79,6.32
14,0.083,2.02,2025-02-10T07:00,2025-02-10T07:30,2025-02-10T07:00,87,7.221
15,0.163,3.97,2025-02-10T07:30,2025-02-10T08:00,2025-02-10T07:30,98,15.974
16,0.345,8.4,2025-02-10T08:00,2025-02-10T08:30,2025-02-10T08:00,96,33.12
17,0.388,9.45,2025-02-10T08:30,2025-02-10T09:00,2025-02-10T08:30,102,39.576
18,0.324,7.89,2025-02-10T09:00,2025-02-10T09:30,2025-02-10T09:00,153,49.572
19,0.349,8.5,2025-02-10T09:30,2025-02-10T10:00,2025-02-10T09:30,157,54.793
20,0.566,13.79,2025-02-10T10:00,2025-02-10T10:30,2025-02-10T10:00,158,89.428
21,0.558,13.59,2025-02-10T10:30,2025-02-10T11:00,2025-02-10T10:30,159,88.72200000000001
22,0.847,20.63,2025-02-10T11:00,2025-02-10T11:30,2025-02-10T11:00,150,127.05
23,0.306,7.45,2025-02-10T11:30,2025-02-10T12:00,2025-02-10T11:30,149,45.594
24,0.246,5.99,2025-02-10T12:00,2025-02-10T12:30,2025-02-10T12:00,153,37.638
25,0.199,4.85,2025-02-10T12:30,2025-02-10T13:00,2025-02-10T12:30,149,29.651
26,0.17,4.14,2025-02-10T13:00,2025-02-10T13:30,2025-02-10T13:00,150,25.500000000000004
27,0.18,4.38,2025-02-10T13:30,2025-02-10T14:00,2025-02-10T13:30,147,26.459999999999997
28,0.295,7.19,2025-02-10T14:00,2025-02-10T14:30,2025-02-10T14:00,150,44.25
29,0.192,4.68,2025-02-10T14:30,2025-02-10T15:00,2025-02-10T14:30,151,28.992
30,0.147,3.58,2025-02-10T15:00,2025-02-10T15:30,2025-02-10T15:00,143,21.020999999999997
31,0.256,6.24,2025-02-10T15:30,2025-02-10T16:00,2025-02-10T15:30,154,39.424
32,0.216,5.26,2025-02-10T16:00,2025-02-10T16:30,2025-02-10T16:00,155,33.48
33,0.227,5.53,2025-02-10T16:30,2025-02-10T17:00,2025-02-10T16:30,162,36.774
34,0.269,6.55,2025-02-10T17:00,2025-02-10T17:30,2025-02-10T17:00,171,45.999
35,0.223,5.43,2025-02-10T17:30,2025-02-10T18:00,2025-02-10T17:30,176,39.248
36,0.243,5.92,2025-02-10T18:00,2025-02-10T18:30,2025-02-10T18:00,175,42.525
37,0.619,15.08,2025-02-10T18:30,2025-02-10T19:00,2025-02-10T18:30,178,110.182
38,0.185,4.51,2025-02-10T19:00,2025-02-10T19:30,2025-02-10T19:00,180,33.3
39,0.069,1.68,2025-02-10T19:30,2025-02-10T20:00,2025-02-10T19:30,177,12.213000000000001
40,0.122,2.97,2025-02-10T20:00,2025-02-10T20:30,2025-02-10T20:00,177,21.594
41,1.03,25.09,2025-02-10T20:30,2025-02-10T21:00,2025-02-10T20:30,177,182.31
42,1.262,30.74,2025-02-10T21:00,2025-02-10T21:30,2025-02-10T21:00,174,219.588
43,1.345,32.76,2025-02-10T21:30,2025-02-10T22:00,2025-02-10T21:30,172,231.34
44,1.543,37.58,2025-02-10T22:00,2025-02-10T22:30,2025-02-10T22:00,153,236.07899999999998
45,1.235,30.08,2025-02-10T22:30,2025-02-10T23:00,2025-02-10T22:30,144,177.84
46,1.182,28.79,2025-02-10T23:00,2025-02-10T23:30,2025-02-10T23:00,132,156.024
47,1.199,29.2,2025-02-10T23:30,2025-02-11T00:00,2025-02-10T23:30,137,164.263
48,1.196,29.13,2025-02-11T00:00,2025-02-11T00:30,2025-02-11T00:00,145,173.42
49,1.188,28.94,2025-02-11T00:30,2025-02-11T01:00,2025-02-11T00:30,147,174.636
50,1.204,29.33,2025-02-11T01:00,2025-02-11T01:30,2025-02-11T01:00,144,173.376
51,1.206,29.37,2025-02-11T01:30,2025-02-11T02:00,2025-02-11T01:30,149,179.694
52,1.2,29.23,2025-02-11T02:00,2025-02-11T02:30,2025-02-11T02:00,146,175.2
53,1.183,28.81,2025-02-11T02:30,2025-02-11T03:00,2025-02-11T02:30,152,179.816
54,1.245,30.32,2025-02-11T03:00,2025-02-11T03:30,2025-02-11T03:00,159,197.955
55,1.226,29.86,2025-02-11T03:30,2025-02-11T04:00,2025-02-11T03:30,159,194.934
56,1.207,29.4,2025-02-11T04:00,2025-02-11T04:30,2025-02-11T04:00,162,195.53400000000002
57,1.241,30.23,2025-02-11T04:30,2025-02-11T05:00,2025-02-11T04:30,162,201.04200000000003
58,1.234,30.06,2025-02-11T05:00,2025-02-11T05:30,2025-02-11T05:00,141,173.994
59,1.26,30.69,2025-02-11T05:30,2025-02-11T06:00,2025-02-11T05:30,157,197.82
60,1.203,29.3,2025-02-11T06:00,2025-02-11T06:30,2025-02-11T06:00,174,209.322
61,1.243,30.28,2025-02-11T06:30,2025-02-11T07:00,2025-02-11T06:30,183,227.46900000000002
62,1.252,30.49,2025-02-11T07:00,2025-02-11T07:30,2025-02-11T07:00,191,239.132
63,0.328,7.99,2025-02-11T07:30,2025-02-11T08:00,2025-02-11T07:30,202,66.256
64,0.258,6.28,2025-02-11T08:00,2025-02-11T08:30,2025-02-11T08:00,238,61.404
65,0.151,3.68,2025-02-11T08:30,2025-02-11T09:00,2025-02-11T08:30,240,36.24
66,0.156,3.8,2025-02-11T09:00,2025-02-11T09:30,2025-02-11T09:00,244,38.064
67,0.756,18.41,2025-02-11T09:30,2025-02-11T10:00,2025-02-11T09:30,249,188.244
68,0.097,2.36,2025-02-11T10:00,2025-02-11T10:30,2025-02-11T10:00,246,23.862000000000002
69,0.079,1.92,2025-02-11T10:30,2025-02-11T11:00,2025-02-11T10:30,250,19.75
